new_bs, i, j, sinr: 7, 4010, -40740, 21.129497
new_bs, i, j, sinr: 7, 4010, -40730, 21.131433
new_bs, i, j, sinr: 7, 4010, -40720, 21.130321
new_bs, i, j, sinr: 7, 4010, -40710, 21.126171
new_bs, i, j, sinr: 7, 4010, -40700, 21.119018
new_bs, i, j, sinr: 7, 4010, -40690, 21.108923
new_bs, i, j, sinr: 7, 4010, -40680, 21.095971
new_bs, i, j, sinr: 7, 4010, -40670, 21.080266
new_bs, i, j, sinr: 7, 4010, -40660, 21.061934
new_bs, i, j, sinr: 7, 4010, -40650, 21.041113
new_bs, i, j, sinr: 7, 4010, -40640, 21.017954
new_bs, i, j, sinr: 7, 4010, -40630, 20.992618
new_bs, i, j, sinr: 7, 4010, -40620, 20.965271
new_bs, i, j, sinr: 7, 4010, -40610, 20.936082
new_bs, i, j, sinr: 7, 4010, -40600, 20.905218
new_bs, i, j, sinr: 7, 4010, -40590, 20.872847
new_bs, i, j, sinr: 7, 4010, -40580, 20.839131
new_bs, i, j, sinr: 7, 4010, -40570, 20.804227
new_bs, i, j, sinr: 7, 4010, -40560, 20.768283
new_bs, i, j, sinr: 7, 4010, -40550, 20.731440
new_bs, i, j, sinr: 7, 4010, -40540, 20.693832
new_bs, i, j, sinr: 7, 4010, -40530, 20.655582
new_bs, i, j, sinr: 7, 4010, -40520, 20.616804
new_bs, i, j, sinr: 7, 4010, -40510, 20.577603
new_bs, i, j, sinr: 7, 4010, -40500, 20.538076
new_bs, i, j, sinr: 7, 4010, -40490, 20.498310
new_bs, i, j, sinr: 7, 4010, -40480, 20.458385
new_bs, i, j, sinr: 7, 4010, -40470, 20.418373
new_bs, i, j, sinr: 7, 4010, -40460, 20.378337
new_bs, i, j, sinr: 7, 4010, -40450, 20.338335
new_bs, i, j, sinr: 7, 4010, -40440, 20.298418
new_bs, i, j, sinr: 7, 4010, -40430, 20.258632
new_bs, i, j, sinr: 7, 4010, -40420, 20.219015
new_bs, i, j, sinr: 7, 4010, -40410, 20.179604
new_bs, i, j, sinr: 7, 4020, -41100, 20.002593
new_bs, i, j, sinr: 7, 4020, -41090, 20.041482
new_bs, i, j, sinr: 7, 4020, -41080, 20.080743
new_bs, i, j, sinr: 7, 4020, -41070, 20.120360
new_bs, i, j, sinr: 7, 4020, -41060, 20.160318
new_bs, i, j, sinr: 7, 4020, -41050, 20.200597
new_bs, i, j, sinr: 7, 4020, -41040, 20.241173
new_bs, i, j, sinr: 7, 4020, -41030, 20.282018
new_bs, i, j, sinr: 7, 4020, -41020, 20.323100
new_bs, i, j, sinr: 7, 4020, -41010, 20.364381
new_bs, i, j, sinr: 7, 4020, -41000, 20.405821
new_bs, i, j, sinr: 7, 4020, -40990, 20.447369
new_bs, i, j, sinr: 7, 4020, -40980, 20.488971
new_bs, i, j, sinr: 7, 4020, -40970, 20.530564
new_bs, i, j, sinr: 7, 4020, -40960, 20.572079
new_bs, i, j, sinr: 7, 4020, -40950, 20.613435
new_bs, i, j, sinr: 7, 4020, -40940, 20.654546
new_bs, i, j, sinr: 7, 4020, -40930, 20.695315
new_bs, i, j, sinr: 7, 4020, -40920, 20.735634
new_bs, i, j, sinr: 7, 4020, -40910, 20.775385
new_bs, i, j, sinr: 7, 4020, -40900, 20.814440
new_bs, i, j, sinr: 7, 4020, -40890, 20.852661
new_bs, i, j, sinr: 7, 4020, -40880, 20.889897
new_bs, i, j, sinr: 7, 4020, -40870, 20.925988
new_bs, i, j, sinr: 7, 4020, -40860, 20.960767
new_bs, i, j, sinr: 7, 4020, -40850, 20.994056
new_bs, i, j, sinr: 7, 4020, -40840, 21.025672
new_bs, i, j, sinr: 7, 4020, -40830, 21.055427
new_bs, i, j, sinr: 7, 4020, -40820, 21.083132
new_bs, i, j, sinr: 7, 4020, -40810, 21.108597
new_bs, i, j, sinr: 7, 4020, -40800, 21.131639
new_bs, i, j, sinr: 5, 4020, -40790, 11.640638
new_bs, i, j, sinr: 5, 4020, -40780, 11.690696
new_bs, i, j, sinr: 7, 4020, -40770, 21.184531
new_bs, i, j, sinr: 7, 4020, -40760, 21.196261
new_bs, i, j, sinr: 7, 4020, -40750, 21.204847
new_bs, i, j, sinr: 7, 4020, -40740, 21.210210
new_bs, i, j, sinr: 7, 4020, -40730, 21.212301
new_bs, i, j, sinr: 7, 4020, -40720, 21.211100
