throughput_ul: 1600.000000, 800.000000, 800.000000, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 800.000000, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 533.333333, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 800.000000, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 800.000000, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 533.333333, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 533.333333, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 533.333333, 533.333333, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 533.333333, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 800.000000, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 533.333333, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 800.000000, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 800.000000, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 533.333333, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 800.000000, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 533.333333, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 800.000000, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 533.333333, 533.333333, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 800.000000, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 800.000000, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 533.333333, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 533.333333, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 533.333333, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 533.333333, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 533.333333, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 800.000000
throughput_ul: 1600.000000, 800.000000, 533.333333, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 533.333333, 533.333333, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 533.333333, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 800.000000, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 800.000000, throughput_dl_sbs: 1600.000000, 1600.000000, 800.000000
throughput_ul: 800.000000, 800.000000, 533.333333, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 533.333333, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 800.000000, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 533.333333, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 800.000000, throughput_dl_sbs: 1600.000000, 1600.000000, 800.000000
throughput_ul: 1600.000000, 800.000000, 533.333333, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 800.000000, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 800.000000, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 800.000000, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 800.000000, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 533.333333, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 800.000000, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 533.333333, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 533.333333, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 800.000000, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 800.000000
throughput_ul: 1600.000000, 800.000000, 800.000000, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 800.000000, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 800.000000, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 800.000000, 800.000000, 800.000000, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 533.333333, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
throughput_ul: 1600.000000, 800.000000, 533.333333, throughput_dl: 1600.000000, 1600.000000, 1600.000000, throughput_ul_mbs: 1600.000000, 800.000000, 800.000000, throughput_dl_mbs: 1600.000000, 1600.000000, 1600.000000, throughput_ul_sbs: 800.000000, 800.000000, 800.000000, throughput_dl_sbs: 1600.000000, 1600.000000, 1600.000000
