1262	743	281	2317	2245	2954	2100	29
995	1116	453	3699	3042	2371	1033	54
1503	1009	900	3626	2588	2739	1818	224
2302	810	1123	3401	2756	2276	2506	170
3037	1227	1413	3683	2304	2676	1917	59
3284	1612	1279	3214	2356	3011	1808	51
2639	1782	1600	2512	2655	2890	1651	28
2322	2028	1972	3144	2432	3175	1118	246
2667	1890	1306	3720	2423	3277	1743	232
2948	1350	1239	2831	3627	4124	1994	604
2282	1500	1131	2742	3415	3664	2367	497
2995	1369	1208	2917	2855	4023	3112	366
3230	1143	794	2957	2838	4227	2670	361
3382	1470	1050	3293	3418	4645	2502	374
2633	1836	1242	2954	3289	4029	1803	284
2105	1677	937	3379	2940	3488	1784	490
2094	1508	788	3696	2902	2842	1956	584
3020	1949	959	4027	3529	3256	1724	279
2635	2304	997	2934	2480	2953	1783	207
2958	2472	801	2439	2233	2613	2201	179
2475	1801	608	3466	1660	2604	2872	177
2275	2026	574	2658	1064	2756	3327	1157
2419	1900	222	2088	773	2397	3878	1604
2156	878	177	1785	724	1932	4046	730
894	529	630	1376	1690	2145	1645	321
1168	771	610	1728	1947	2663	1276	103
1591	777	767	2108	1915	2315	1210	204
2023	623	688	2429	2003	1829	2304	458
2447	804	684	2553	1912	2192	1538	283
2155	976	893	1933	1589	2990	2040	301
2236	1036	909	1472	1417	3043	1964	132
2256	1109	438	1664	2062	3141	2243	167
2387	776	322	1697	2020	3570	2937	435
2031	1117	722	2048	2382	3090	2375	146
1658	1077	858	2351	2479	2771	1432	186
2380	1221	841	1927	2670	2942	1515	394
2946	1264	409	2533	3316	2906	1489	384
2629	1276	666	2818	2849	1845	2051	407
2181	1705	1100	2775	3019	2861	2552	132
2012	1495	1357	2051	2381	1582	2752	251
2515	1404	1499	1529	2348	1509	1359	400
2978	2035	749	1386	2721	2054	1693	739
2167	2643	901	1565	1391	2057	2164	98
2561	2132	952	1828	874	2087	2383	125
2830	1642	536	1748	1016	2150	2740	338
2634	1981	451	1215	1268	1800	2612	536
2921	1523	347	1044	1230	2173	2651	368
2404	857	285	792	537	2073	3653	90
1262	743	281	2317	2245	2954	2100	29
995	1116	453	3699	3042	2371	1033	54
1503	1009	900	3626	2588	2739	1818	224
2302	810	1123	3401	2756	2276	2506	170
3037	1227	1413	3683	2304	2676	1917	59
3284	1612	1279	3214	2356	3011	1808	51
2639	1782	1600	2512	2655	2890	1651	28
2322	2028	1972	3144	2432	3175	1118	246
2667	1890	1306	3720	2423	3277	1743	232
2948	1350	1239	2831	3627	4124	1994	604
2282	1500	1131	2742	3415	3664	2367	497
2995	1369	1208	2917	2855	4023	3112	366
3230	1143	794	2957	2838	4227	2670	361
3382	1470	1050	3293	3418	4645	2502	374
2633	1836	1242	2954	3289	4029	1803	284
2105	1677	937	3379	2940	3488	1784	490
2094	1508	788	3696	2902	2842	1956	584
3020	1949	959	4027	3529	3256	1724	279
2635	2304	997	2934	2480	2953	1783	207
2958	2472	801	2439	2233	2613	2201	179
2475	1801	608	3466	1660	2604	2872	177
2275	2026	574	2658	1064	2756	3327	1157
2419	1900	222	2088	773	2397	3878	1604
2156	878	177	1785	724	1932	4046	730
894	529	630	1376	1690	2145	1645	321
1168	771	610	1728	1947	2663	1276	103
1591	777	767	2108	1915	2315	1210	204
2023	623	688	2429	2003	1829	2304	458
2447	804	684	2553	1912	2192	1538	283
2155	976	893	1933	1589	2990	2040	301
2236	1036	909	1472	1417	3043	1964	132
2256	1109	438	1664	2062	3141	2243	167
2387	776	322	1697	2020	3570	2937	435
2031	1117	722	2048	2382	3090	2375	146
1658	1077	858	2351	2479	2771	1432	186
2380	1221	841	1927	2670	2942	1515	394
2946	1264	409	2533	3316	2906	1489	384
2629	1276	666	2818	2849	1845	2051	407
2181	1705	1100	2775	3019	2861	2552	132
2012	1495	1357	2051	2381	1582	2752	251
2515	1404	1499	1529	2348	1509	1359	400
2978	2035	749	1386	2721	2054	1693	739
2167	2643	901	1565	1391	2057	2164	98
2561	2132	952	1828	874	2087	2383	125
2830	1642	536	1748	1016	2150	2740	338
2634	1981	451	1215	1268	1800	2612	536
2921	1523	347	1044	1230	2173	2651	368
2404	857	285	792	537	2073	3653	90
1262	743	281	2317	2245	2954	2100	29
995	1116	453	3699	3042	2371	1033	54
1503	1009	900	3626	2588	2739	1818	224
2302	810	1123	3401	2756	2276	2506	170
3037	1227	1413	3683	2304	2676	1917	59
3284	1612	1279	3214	2356	3011	1808	51
2639	1782	1600	2512	2655	2890	1651	28
2322	2028	1972	3144	2432	3175	1118	246
2667	1890	1306	3720	2423	3277	1743	232
2948	1350	1239	2831	3627	4124	1994	604
2282	1500	1131	2742	3415	3664	2367	497
2995	1369	1208	2917	2855	4023	3112	366
3230	1143	794	2957	2838	4227	2670	361
3382	1470	1050	3293	3418	4645	2502	374
2633	1836	1242	2954	3289	4029	1803	284
2105	1677	937	3379	2940	3488	1784	490
2094	1508	788	3696	2902	2842	1956	584
3020	1949	959	4027	3529	3256	1724	279
2635	2304	997	2934	2480	2953	1783	207
2958	2472	801	2439	2233	2613	2201	179
2475	1801	608	3466	1660	2604	2872	177
2275	2026	574	2658	1064	2756	3327	1157
2419	1900	222	2088	773	2397	3878	1604
2156	878	177	1785	724	1932	4046	730
894	529	630	1376	1690	2145	1645	321
1168	771	610	1728	1947	2663	1276	103
1591	777	767	2108	1915	2315	1210	204
2023	623	688	2429	2003	1829	2304	458
2447	804	684	2553	1912	2192	1538	283
2155	976	893	1933	1589	2990	2040	301
2236	1036	909	1472	1417	3043	1964	132
2256	1109	438	1664	2062	3141	2243	167
2387	776	322	1697	2020	3570	2937	435
2031	1117	722	2048	2382	3090	2375	146
1658	1077	858	2351	2479	2771	1432	186
2380	1221	841	1927	2670	2942	1515	394
2946	1264	409	2533	3316	2906	1489	384
2629	1276	666	2818	2849	1845	2051	407
2181	1705	1100	2775	3019	2861	2552	132
2012	1495	1357	2051	2381	1582	2752	251
2515	1404	1499	1529	2348	1509	1359	400
2978	2035	749	1386	2721	2054	1693	739
2167	2643	901	1565	1391	2057	2164	98
2561	2132	952	1828	874	2087	2383	125
2830	1642	536	1748	1016	2150	2740	338
2634	1981	451	1215	1268	1800	2612	536
2921	1523	347	1044	1230	2173	2651	368
2404	857	285	792	537	2073	3653	90
954	840	510	2191	2224	2675	3253	369
1327	1006	478	2512	3049	2253	2227	169
2181	980	1432	2758	3165	3093	2169	383
2403	1298	1270	2878	2825	2778	2076	120
2017	1556	1318	4302	3265	3060	1211	227
2416	2130	1197	4431	2767	2607	1305	83
2510	1628	1244	3651	2796	3573	1600	257
2657	912	1254	3260	2797	3486	1845	272
3174	1789	870	2736	3319	3842	2026	373
2818	1483	931	2132	3740	3471	1834	298
3105	705	1189	2499	3841	3907	1953	213
3769	1767	845	1780	2739	3198	1839	171
3957	1251	701	2878	2573	4327	1858	275
3284	1678	548	2180	2894	4374	1963	334
3063	2158	642	3049	3018	3596	2121	668
3228	1696	637	3232	2961	2730	2430	450
3287	1441	931	2698	3401	1999	2442	370
2667	1341	754	2421	3829	3157	2534	306
2173	1888	741	2626	3515	2721	2528	284
2564	2440	272	3035	2619	2785	3038	125
2973	2023	60	2284	1329	2655	3196	256
2734	1541	129	1744	1135	2247	3302	368
2646	1684	151	2040	1188	2853	2855	333
1032	643	71	1012	1462	2769	2527	0
