596	445	264	1684	1587	3453	2989	153
1422	827	525	2555	2014	3624	3283	111
1606	1288	1372	2452	1970	4068	2687	93
1863	903	863	2932	3020	4756	3341	530
2508	1022	1623	4130	3682	3615	2786	786
2765	1093	1328	3447	4164	4096	2828	291
3029	1952	695	3538	3263	2885	2512	273
3061	1870	1845	3179	3272	3148	2879	37
3103	1285	1457	3312	4198	4189	1947	27
4440	1562	721	4670	3295	3839	2484	148
3854	1791	1218	4046	3394	3106	2346	186
3885	1841	2066	3985	4025	4600	2097	84
4347	2108	1523	5911	2390	3764	2368	267
4706	2151	627	5643	3294	3175	2205	660
4201	1960	638	4029	3196	2649	3221	465
4246	1455	1121	3595	3011	3642	2730	615
3850	1134	831	2643	2488	5444	2357	89
3593	655	559	2431	2893	4685	2866	171
3801	1033	1198	3131	2825	3682	3281	451
3315	1480	815	3615	2033	2089	3120	341
2678	2177	696	2978	1840	2292	3046	613
2263	1705	305	2688	1313	1541	3468	622
2655	913	27	3096	1272	1921	4361	715
1149	448	0	1844	1237	2518	3781	27
762	127	189	789	1420	1390	3134	51
1729	605	594	1193	1916	2212	4467	342
1504	1009	1137	1695	2178	2218	3139	426
2371	784	851	2451	2710	2464	2898	258
2860	874	1159	2296	2483	2802	2353	135
2512	1003	1187	2425	3350	3927	2257	66
1924	888	692	2994	3489	3744	2352	117
2191	777	1014	2329	3515	3681	2161	135
2815	1183	926	2315	3796	3283	2470	176
3083	1014	386	2525	2996	4669	3405	266
2329	850	1066	3239	2763	3059	2360	364
1882	790	605	4434	3084	3187	2643	234
2014	1790	277	4835	2265	2775	1527	270
2674	1542	1321	4157	2651	2882	2216	769
3350	1112	742	2230	3179	2645	3116	606
2848	900	897	2403	2740	2409	3020	385
2815	1330	694	3314	3216	2066	2415	187
2765	1608	599	2973	2000	1868	2548	564
3201	864	592	3555	2592	2898	2618	292
3014	1256	508	2890	2133	3118	2673	222
2460	885	139	3416	2329	3024	2269	637
2686	1074	246	1808	1739	1391	2389	995
2683	634	288	1271	1081	2110	2772	855
2166	166	246	889	833	1258	3009	650
1644	1147	624	2161	2134	3309	3565	122
2288	1110	1466	3212	3286	3484	4588	56
