1121	391	251	1616	2518	2687	3343	160
2048	525	464	1971	2864	3732	3776	0
2627	745	736	2120	2868	3733	2283	32
2554	430	1066	3476	3002	3341	1955	134
3311	872	432	3763	3584	3414	2571	0
3465	1055	700	2868	3204	3619	2313	392
2297	1847	914	2984	3445	3727	1927	421
2452	1209	1054	3797	3171	3586	3232	220
2004	822	1136	4365	3271	4804	2793	153
2143	1346	820	4531	2822	4240	2352	93
2495	1669	863	4200	2959	3558	2260	107
3658	1686	762	3484	2706	3669	2379	39
3506	1680	1098	3356	1354	3592	2912	39
4190	1569	1570	3647	1726	3593	2224	384
3204	1134	1012	3253	2560	4264	1600	366
2732	1647	1562	2661	2240	4437	2409	151
1933	907	1197	3760	1916	4602	2000	0
1982	839	1301	3311	3119	3534	2171	311
2233	582	1599	3587	2782	3472	2322	778
2143	699	740	3082	1698	4345	2298	1033
2398	1366	342	1822	1587	3466	3029	562
3041	1195	392	1534	1111	3395	2721	988
3232	511	251	1796	884	1878	3661	867
1514	228	132	956	917	1602	3366	680
596	445	264	1684	1587	3453	2989	153
1422	827	525	2555	2014	3624	3283	111
1606	1288	1372	2452	1970	4068	2687	93
1863	903	863	2932	3020	4756	3341	530
2508	1022	1623	4130	3682	3615	2786	786
2765	1093	1328	3447	4164	4096	2828	291
3029	1952	695	3538	3263	2885	2512	273
3061	1870	1845	3179	3272	3148	2879	37
3103	1285	1457	3312	4198	4189	1947	27
4440	1562	721	4670	3295	3839	2484	148
3854	1791	1218	4046	3394	3106	2346	186
3885	1841	2066	3985	4025	4600	2097	84
4347	2108	1523	5911	2390	3764	2368	267
4706	2151	627	5643	3294	3175	2205	660
4201	1960	638	4029	3196	2649	3221	465
4246	1455	1121	3595	3011	3642	2730	615
3850	1134	831	2643	2488	5444	2357	89
3593	655	559	2431	2893	4685	2866	171
3801	1033	1198	3131	2825	3682	3281	451
3315	1480	815	3615	2033	2089	3120	341
2678	2177	696	2978	1840	2292	3046	613
2263	1705	305	2688	1313	1541	3468	622
2655	913	27	3096	1272	1921	4361	715
1149	448	0	1844	1237	2518	3781	27
1066	361	74	1259	1414	2458	3636	251
1122	532	247	2064	2188	3380	2454	320
1165	630	275	2550	2637	3251	2459	254
1544	938	331	2199	3150	3259	2201	125
1934	1131	389	3113	4768	3168	1484	256
2061	1037	545	3056	3796	2857	1276	281
2257	1210	595	2672	3649	3328	1908	264
1814	1418	616	2487	3115	3795	1631	44
2282	982	930	2716	2453	4303	2562	74
1929	1193	1094	2243	2797	4829	2509	175
2540	1265	1125	1939	3150	4381	2352	105
2748	1071	1021	2462	2543	3562	2930	295
3918	1797	1141	2757	2874	3314	2332	504
3005	1787	447	2324	2961	2197	2457	132
3041	1924	789	2741	2770	3129	2096	463
3288	1339	708	2482	2909	3094	2333	529
2470	1570	371	2337	3160	2478	1618	499
2126	896	412	1868	3438	3259	2882	618
2622	942	659	2157	2496	2863	2775	477
2556	1479	407	1924	1654	2352	2223	269
2066	1763	283	1637	1709	1998	2260	540
1534	1707	246	2205	1762	1803	1742	490
1940	1192	153	1647	1910	2920	2585	474
1180	381	26	724	1014	2445	3784	209
1644	1147	624	2161	2134	3309	3565	122
2288	1110	1466	3212	3286	3484	4588	56
2788	1641	945	2733	3868	4087	5002	215
2353	1788	2135	3722	4404	4346	3910	261
3251	1826	1215	5080	3795	5931	3874	23
2586	2187	1218	5370	5219	6518	3330	227
2892	2157	1418	4272	5300	6843	3173	276
3122	2134	1773	4940	4534	6204	2664	118
3096	2038	2346	4410	4561	6081	3234	155
3742	2602	2985	4845	4357	5057	3730	92
3096	3554	2158	5620	4451	3793	3369	314
4144	3603	1926	4944	4132	3406	3359	895
4573	2972	1667	5071	5733	3395	3176	567
4539	2729	1615	3505	6780	3709	2482	569
4426	3050	1172	5432	5766	4366	3313	1227
3293	2269	953	4795	4272	4671	3838	1195
3666	2667	1672	4091	3547	4838	3424	1372
3871	2834	1914	4544	3108	5547	3422	490
3471	1813	959	4230	3049	6725	3713	580
4810	1942	1122	2973	2386	6614	3985	649
4581	2655	1005	2655	2432	5726	3613	896
4338	1861	551	2613	1928	4976	3892	1401
3178	2005	727	2043	1524	3931	5791	427
1751	951	945	2794	1072	2929	4801	461
1005	575	31	1884	2066	2404	3474	64
1140	887	302	3056	3101	2446	3423	71
1495	1094	359	2946	4036	2702	1892	127
1572	1086	231	2558	4212	2795	1717	64
1844	1493	471	3400	3250	3042	2279	512
2821	1412	597	3347	2904	3263	1802	366
1892	1522	992	2220	3108	3734	1812	226
2276	1908	903	2138	3444	3492	1863	234
3006	1155	739	2946	3445	3339	2189	254
2733	1255	495	3445	2984	3840	3227	211
2794	1563	356	3410	3221	4087	2481	605
2780	2481	610	4006	2650	3793	2741	289
3403	1954	627	3223	2418	3976	1814	368
3337	1391	476	2359	2789	3327	3204	53
3200	899	372	2327	3168	3309	3183	804
2448	1252	472	2369	2653	3588	2616	425
2479	1301	310	2071	2768	2934	3004	930
