1351	427	316	1469	2652	3947	3227	652
2063	624	486	2998	2663	3605	2360	816
3196	559	388	2858	3328	3819	3704	1041
2851	1128	792	2337	4386	4124	2897	487
2926	1933	789	2631	4066	4996	2112	384
2560	1856	967	2778	3134	5678	1926	331
3662	2327	1203	2428	3231	4793	2522	208
3969	1679	1035	3900	2859	4157	3630	424
3776	2067	791	3506	3443	4715	2518	898
2939	2252	851	3424	4381	3808	2656	614
3059	2318	967	4694	4338	4396	2933	892
2749	1746	1279	4314	3700	3826	2832	483
2842	1708	1018	4788	3151	3400	2377	0
2777	1583	883	4147	3005	3703	2210	266
3640	1965	1057	3814	4005	4098	2888	296
2614	1825	1186	4083	3051	3559	2401	333
2779	2008	1255	3401	4087	3334	2444	243
2154	2263	927	3019	3964	5330	2332	351
1605	1572	710	1906	2251	5048	2596	477
2424	1482	548	2203	2275	3261	3451	600
2651	1270	446	1566	1265	2575	3142	810
2635	1226	367	2017	1495	2555	3452	685
2038	646	392	1707	1389	1823	2939	407
1277	685	0	602	1140	1741	3210	39
1398	1282	686	1815	2138	2262	3451	609
1689	1071	772	3314	2840	2462	3328	286
1550	1488	496	3180	3916	3148	2889	465
1990	977	390	3158	4092	3744	3664	477
2539	1508	595	2136	4213	4584	2566	47
1778	1561	1102	2778	3915	4483	2722	0
2594	1986	587	3782	3808	3320	2882	159
1897	1716	671	3816	3730	4717	2359	261
2236	2414	641	3272	3974	4811	2840	734
2621	2129	709	3392	4058	3076	1793	469
2986	2492	865	4027	3894	3132	1924	647
3744	2195	841	3821	2532	3955	2791	366
3688	2321	992	3427	2400	4231	3363	441
2931	2268	1259	2771	3047	4603	2786	340
3749	2234	865	2400	3596	3664	2441	422
2289	1872	418	2275	3829	4467	3120	301
3202	1992	447	2286	3522	4209	3065	23
3457	2312	308	2357	2725	4017	2482	82
2289	2367	783	2455	2714	3645	2228	544
2346	2755	69	2249	1948	3718	2590	538
1764	2125	228	1627	1850	1584	2851	981
2473	1271	159	1863	1967	2926	4249	848
1187	853	0	1088	1466	2523	2577	150
550	789	22	689	862	1694	1921	73
1482	1610	687	2319	2434	4282	4633	199
1682	2044	200	2834	3130	4033	3466	341
2396	1618	539	3904	3270	3696	3031	485
3085	2001	1699	4445	4084	3947	2557	468
2635	2563	1925	4435	4224	4008	1912	257
2148	2350	1700	4222	4664	4883	2407	72
2687	2550	1806	4871	4676	4536	2373	125
3100	2664	799	4980	4548	4470	2523	538
2988	2798	1252	4123	4001	4403	2674	360
3059	2750	1085	4125	3384	3308	3189	382
3297	2636	1226	3919	4642	4135	3403	505
3707	1542	1954	3752	3560	4776	3280	458
3877	2492	1752	4565	3218	4863	3383	453
3229	1694	1355	4041	3798	4394	3399	247
4282	2047	745	3526	3871	4735	2854	586
3918	2898	641	3420	3322	4922	3818	690
4321	1994	893	3835	2595	4744	2880	520
4296	1809	1096	2972	2543	3974	3347	429
3060	2134	879	2794	2968	3948	3588	701
2805	2711	611	3198	2746	3512	3800	893
2076	2548	420	3241	2832	3100	2886	203
2013	2655	368	2543	3005	3290	2915	489
1260	1809	625	2786	2103	2658	3586	535
1226	1361	302	1854	1473	2482	3664	743
1426	642	166	2467	2017	3148	3712	427
1669	1107	155	2627	2418	3898	2528	410
2154	1112	838	2672	2158	4113	2258	631
2079	1118	771	2154	4083	4080	2852	258
2042	1089	770	2489	4350	4608	2047	133
1853	1861	1185	3363	3576	3772	2738	69
3290	2217	1323	3664	3271	3680	2781	152
3529	2317	1074	3296	3492	3570	3091	114
3459	2422	1037	3211	2919	3979	2238	309
2124	2093	726	2928	5175	2982	2377	742
2819	2787	718	2535	5948	3550	2633	756
2709	2250	845	3036	3664	4511	2377	707
2735	2304	986	3022	3007	5262	2095	621
3516	1955	1276	3319	3041	4645	1877	683
4125	2108	907	3489	3077	3852	2380	651
3320	1992	977	2799	3515	4475	3324	328
3297	1791	648	2310	3079	3943	3437	246
2578	2646	377	3349	2378	4076	3156	431
2617	3026	536	1777	1583	4167	1995	768
2007	2838	463	2677	1314	3213	2734	891
1316	2102	415	2712	1322	2404	2387	660
2181	1585	390	3204	1837	2931	2875	559
1769	1370	272	1762	1645	2606	3016	491
1522	945	137	572	1406	2229	2822	347
783	815	137	2090	2872	3269	3478	72
2182	1326	349	2187	3081	3470	3132	184
2276	1856	863	2573	2783	3669	2123	194
2451	1820	482	4147	2902	3245	3184	381
2861	2121	496	4467	2902	3866	2805	179
2781	2603	891	4195	3228	4543	1865	141
3009	2823	1135	4437	3005	4056	2129	260
2284	2984	1226	4324	3079	3694	1813	532
3207	2519	1136	4423	2930	3698	2451	641
3155	1405	753	4296	2674	3220	2684	522
3381	2390	1597	4020	3950	4023	3110	510
2646	2221	1137	3101	3071	3948	2600	256
3413	2379	1667	4021	3307	5112	2574	593
2305	1773	1261	3483	2376	3761	3027	204
1946	2170	579	2907	3253	4222	3272	78
2093	2126	347	2680	3492	4096	2689	174
2055	1275	108	2428	3835	4556	2490	180
2105	1123	83	3115	2923	4434	2892	257
2309	1763	405	2868	2063	4186	2307	160
2484	2303	431	1965	1787	3377	2643	300
1696	2505	185	1546	1492	2592	3137	671
1965	1973	411	2272	1658	2561	2634	828
1214	1445	343	1404	1232	2077	3668	667
1250	872	190	1168	556	1618	3856	141
849	653	553	3288	2484	4166	2764	387
918	951	427	3413	2954	4125	2196	280
2052	1718	604	2615	3227	3494	2870	651
2458	1287	1700	2575	4152	2938	3796	261
2531	1271	1039	3435	4363	3297	2896	152
2811	2349	1200	4107	3201	4032	2376	392
2999	1640	1068	4817	3059	4145	2606	408
2837	1820	1286	4325	4078	3585	2955	516
1873	1198	1071	3437	4329	4966	2405	284
1904	1915	1266	3940	4463	4764	1937	628
3210	2378	768	4312	4570	3983	2037	708
2571	2844	1110	5154	3263	3438	1914	456
2773	3064	1173	4026	3361	3175	2372	279
3863	2021	1035	3733	3088	3266	1832	301
4464	2403	459	4282	3080	4359	2170	953
4570	2009	576	3421	2968	4668	2171	543
4725	2559	736	3265	2339	4105	2591	471
3473	1614	746	3839	3297	4310	2431	252
3080	1856	658	3922	3140	4679	2814	673
3758	1240	334	3618	2099	4061	2572	993
3517	1675	416	3876	1267	3191	2191	731
3568	1253	313	3099	2352	3114	3061	843
2425	1155	420	1859	2162	3899	3641	454
1629	971	123	1431	1261	2923	3586	51
1549	821	229	2275	1450	3843	3567	707
1689	1629	658	2755	1608	2834	2094	1055
918	1359	808	3209	3080	3844	1925	945
1458	1246	1186	2539	3246	4072	2166	188
1666	1736	1673	3132	2884	3869	2138	452
2200	1845	1512	3475	3441	3333	1168	743
2776	1093	794	2752	3459	4070	1600	188
2375	856	994	3569	3285	5247	1875	391
1446	1699	866	3803	2627	3885	1562	583
2007	1883	600	3354	3454	4037	2135	337
2908	2369	499	2459	3686	4025	2378	303
3851	2491	449	2666	3252	2664	2057	178
4271	1605	685	2338	2912	3058	3635	136
3553	2026	1166	2322	2476	3494	2236	361
3256	1672	1228	2664	2800	3237	1844	620
3486	846	883	2745	3049	2838	1633	155
3535	1580	496	2396	2094	3065	2184	199
3136	2184	407	2127	1367	3197	2798	212
2877	2283	545	1972	1016	3327	2396	343
2023	2222	298	2203	1400	2668	2064	218
2165	1820	237	2076	1188	2623	2186	429
1642	1606	232	1494	790	1728	2950	483
1331	597	159	1682	502	2088	2107	723
851	506	121	867	816	1176	2124	278
609	419	245	1242	1969	2478	2946	188
1146	868	330	2023	2562	2780	2139	508
1380	1283	211	2342	2938	2330	2158	593
2166	1454	548	1945	3394	1810	2091	548
1999	1134	430	2164	3361	3483	1885	0
2001	554	177	2512	2620	3661	2212	331
1821	1156	433	2316	3300	3599	1961	504
2226	1491	374	2654	3550	2998	1961	146
2796	1400	341	2074	2792	3318	1834	342
1691	1517	1046	1881	3297	2615	1970	237
2479	1431	375	2809	3225	2613	2547	488
2573	1380	579	2796	2218	2467	2880	29
2972	1407	939	2883	2048	2476	2430	438
2094	1975	1536	2683	1775	1655	2161	633
2919	2091	824	2148	2209	3017	2143	568
2751	1404	450	1721	2570	3324	1517	299
1902	1100	313	1864	2430	3285	2247	295
1799	498	460	1793	1997	3176	2432	431
1868	1506	226	1790	1593	2411	2184	139
