new_bs, i, j, sinr: 7, 4010, -40740, -15.665287
new_bs, i, j, sinr: 7, 4010, -40730, -15.655605
new_bs, i, j, sinr: 7, 4010, -40720, -15.661164
new_bs, i, j, sinr: 7, 4010, -40710, -15.681916
new_bs, i, j, sinr: 7, 4010, -40700, -15.717681
new_bs, i, j, sinr: 7, 4010, -40690, -15.768156
new_bs, i, j, sinr: 7, 4010, -40680, -15.832918
new_bs, i, j, sinr: 7, 4010, -40670, -15.911439
new_bs, i, j, sinr: 7, 4010, -40660, -16.003101
new_bs, i, j, sinr: 7, 4010, -40650, -16.107206
new_bs, i, j, sinr: 7, 4010, -40640, -16.222999
new_bs, i, j, sinr: 7, 4010, -40630, -16.349678
new_bs, i, j, sinr: 7, 4010, -40620, -16.486413
new_bs, i, j, sinr: 7, 4010, -40610, -16.632361
new_bs, i, j, sinr: 7, 4010, -40600, -16.786679
new_bs, i, j, sinr: 7, 4010, -40590, -16.948533
new_bs, i, j, sinr: 7, 4010, -40580, -17.117113
new_bs, i, j, sinr: 7, 4010, -40570, -17.291637
new_bs, i, j, sinr: 7, 4010, -40560, -17.471358
new_bs, i, j, sinr: 7, 4010, -40550, -17.655570
new_bs, i, j, sinr: 7, 4010, -40540, -17.843611
new_bs, i, j, sinr: 7, 4010, -40530, -18.034862
new_bs, i, j, sinr: 7, 4010, -40520, -18.228753
new_bs, i, j, sinr: 7, 4010, -40510, -18.424756
new_bs, i, j, sinr: 7, 4010, -40500, -18.622391
new_bs, i, j, sinr: 7, 4010, -40490, -18.821219
new_bs, i, j, sinr: 7, 4010, -40480, -19.020843
new_bs, i, j, sinr: 7, 4010, -40470, -19.220906
new_bs, i, j, sinr: 7, 4010, -40460, -19.421085
new_bs, i, j, sinr: 7, 4010, -40450, -19.621095
new_bs, i, j, sinr: 7, 4010, -40440, -19.820679
new_bs, i, j, sinr: 7, 4010, -40430, -20.019612
new_bs, i, j, sinr: 7, 4010, -40420, -20.217694
new_bs, i, j, sinr: 7, 4010, -40410, -20.414750
new_bs, i, j, sinr: 7, 4020, -41100, -21.299803
new_bs, i, j, sinr: 7, 4020, -41090, -21.105358
new_bs, i, j, sinr: 7, 4020, -41080, -20.909057
new_bs, i, j, sinr: 7, 4020, -41070, -20.710969
new_bs, i, j, sinr: 7, 4020, -41060, -20.511178
new_bs, i, j, sinr: 7, 4020, -41050, -20.309785
new_bs, i, j, sinr: 7, 4020, -41040, -20.106907
new_bs, i, j, sinr: 7, 4020, -41030, -19.902682
new_bs, i, j, sinr: 7, 4020, -41020, -19.697273
new_bs, i, j, sinr: 7, 4020, -41010, -19.490863
new_bs, i, j, sinr: 7, 4020, -41000, -19.283666
new_bs, i, j, sinr: 7, 4020, -40990, -19.075924
new_bs, i, j, sinr: 7, 4020, -40980, -18.867914
new_bs, i, j, sinr: 7, 4020, -40970, -18.659948
new_bs, i, j, sinr: 7, 4020, -40960, -18.452377
new_bs, i, j, sinr: 7, 4020, -40950, -18.245594
new_bs, i, j, sinr: 7, 4020, -40940, -18.040038
new_bs, i, j, sinr: 7, 4020, -40930, -17.836195
new_bs, i, j, sinr: 7, 4020, -40920, -17.634601
new_bs, i, j, sinr: 7, 4020, -40910, -17.435845
new_bs, i, j, sinr: 7, 4020, -40900, -17.240569
new_bs, i, j, sinr: 7, 4020, -40890, -17.049467
new_bs, i, j, sinr: 7, 4020, -40880, -16.863288
new_bs, i, j, sinr: 7, 4020, -40870, -16.682829
new_bs, i, j, sinr: 7, 4020, -40860, -16.508934
new_bs, i, j, sinr: 7, 4020, -40850, -16.342488
new_bs, i, j, sinr: 7, 4020, -40840, -16.184408
new_bs, i, j, sinr: 7, 4020, -40830, -16.035633
new_bs, i, j, sinr: 7, 4020, -40820, -15.897111
new_bs, i, j, sinr: 7, 4020, -40810, -15.769784
new_bs, i, j, sinr: 7, 4020, -40800, -15.654573
new_bs, i, j, sinr: 5, 4020, -40790, 19.753587
new_bs, i, j, sinr: 5, 4020, -40780, 20.028016
new_bs, i, j, sinr: 7, 4020, -40770, -15.390114
new_bs, i, j, sinr: 7, 4020, -40760, -15.331466
new_bs, i, j, sinr: 7, 4020, -40750, -15.288537
new_bs, i, j, sinr: 7, 4020, -40740, -15.261721
new_bs, i, j, sinr: 7, 4020, -40730, -15.251266
new_bs, i, j, sinr: 7, 4020, -40720, -15.257269
new_bs, i, j, sinr: 7, 4020, -40710, -15.279675
new_bs, i, j, sinr: 7, 4020, -40700, -15.318276
new_bs, i, j, sinr: 7, 4020, -40690, -15.372715
new_bs, i, j, sinr: 7, 4020, -40680, -15.442505
new_bs, i, j, sinr: 7, 4020, -40670, -15.527034
new_bs, i, j, sinr: 7, 4020, -40660, -15.625587
new_bs, i, j, sinr: 7, 4020, -40650, -15.737365
new_bs, i, j, sinr: 7, 4020, -40640, -15.861502
new_bs, i, j, sinr: 7, 4020, -40630, -15.997086
new_bs, i, j, sinr: 7, 4020, -40620, -16.143180
new_bs, i, j, sinr: 7, 4020, -40610, -16.298834
new_bs, i, j, sinr: 7, 4020, -40600, -16.463107
new_bs, i, j, sinr: 7, 4020, -40590, -16.635075
new_bs, i, j, sinr: 7, 4020, -40580, -16.813842
new_bs, i, j, sinr: 7, 4020, -40570, -16.998554
new_bs, i, j, sinr: 7, 4020, -40560, -17.188399
new_bs, i, j, sinr: 7, 4020, -40550, -17.382616
new_bs, i, j, sinr: 7, 4020, -40540, -17.580496
new_bs, i, j, sinr: 7, 4020, -40530, -17.781382
new_bs, i, j, sinr: 7, 4020, -40520, -17.984671
new_bs, i, j, sinr: 7, 4020, -40510, -18.189814
new_bs, i, j, sinr: 7, 4020, -40500, -18.396309
new_bs, i, j, sinr: 7, 4020, -40490, -18.603708
new_bs, i, j, sinr: 7, 4020, -40480, -18.811604
new_bs, i, j, sinr: 7, 4020, -40470, -19.019634
new_bs, i, j, sinr: 7, 4020, -40460, -19.227477
new_bs, i, j, sinr: 7, 4020, -40450, -19.434847
new_bs, i, j, sinr: 7, 4020, -40440, -19.641492
new_bs, i, j, sinr: 7, 4020, -40430, -19.847192
new_bs, i, j, sinr: 7, 4020, -40420, -20.051754
new_bs, i, j, sinr: 7, 4020, -40410, -20.255011
new_bs, i, j, sinr: 7, 4030, -41100, -21.170488
new_bs, i, j, sinr: 7, 4030, -41090, -20.971105
new_bs, i, j, sinr: 7, 4030, -41080, -20.769626
new_bs, i, j, sinr: 7, 4030, -41070, -20.566107
new_bs, i, j, sinr: 7, 4030, -41060, -20.360621
